beta,noise,accuracy,mean_confidence
2.0,0.0,1.0,0.07667950663687326
2.0,0.05,0.9475,0.07084374126588483
2.0,0.1,0.8575,0.06604227240614666
2.0,0.15000000000000002,0.68,0.06187436440326882
2.0,0.2,0.5725,0.059262240964483404
2.0,0.25,0.405,0.057211908633486984
2.0,0.30000000000000004,0.3125,0.055555127572976655
2.0,0.35000000000000003,0.1725,0.05430927875598694
2.0,0.4,0.11,0.053962129507758805
2.0,0.45,0.0375,0.053715476350372014
4.0,0.0,1.0,0.16564429608996517
4.0,0.05,0.94,0.14469437524189602
4.0,0.1,0.8175,0.12420415879846113
4.0,0.15000000000000002,0.6975,0.11542673870054262
4.0,0.2,0.515,0.10108906146461445
4.0,0.25,0.3375,0.09343097881684212
4.0,0.30000000000000004,0.2975,0.0917157938906797
4.0,0.35000000000000003,0.1875,0.08746222399495218
4.0,0.4,0.0975,0.08825904351175427
4.0,0.45,0.08,0.08483445891365618
8.0,0.0,1.0,0.4707846782842679
8.0,0.05,0.9725,0.39459429934803053
8.0,0.1,0.7875,0.3178392414530151
8.0,0.15000000000000002,0.715,0.27666199696154015
8.0,0.2,0.52,0.23439972469794643
8.0,0.25,0.385,0.2161267793574153
8.0,0.30000000000000004,0.2125,0.19483893474999284
8.0,0.35000000000000003,0.16,0.19443331726774016
8.0,0.4,0.1025,0.1876141944272892
8.0,0.45,0.0675,0.1843045713024754
